Journal,Title,Authors,Author_Information,Abstract,DOI,Misc
9. Acta Biomed. 2023 Jun 14;94(3):e2023177. doi: 10.23750/abm.v94i3.14714.,"Radiological manifestation of avascular necrosis (AVN) in sickle cell disease 
(SCD): a review of diagnostic imaging.","Bedair E(1), Almaslamani N(2), Yassin M(3).","Author information:
(1)Hamad Medical Corporation. elsaid_bedair@hotmail.com.
(2)Hamad Medical Corporation. nassermaslaani@hamad.qa.
(3)Medical Oncology, Hematology Section, National Center for Cancer Care and 
Research, Hamad Medical Corporation, Doha, Qatar. yassinmoha@gmail.com.","Symptomatic avascular necrosis (AVN) imposes a higher risk for acute care 
consumption in adults living with SCD. Symptomatic AVN, have higher rates of 
visits to the emergency department, higher rates of admissions, and longer 
lengths of stay in hospitals. Properly timed diagnosis and early interventions 
can reduce morbidity and enhance the quality of life in these patients. 
Vaso-occlusion secondary to sickling leads to osteonecrosis of the joint/bone 
(AVN, dactylitis) and invites infection (osteomyelitis and septic arthritis). 
Understanding and awareness of the imaging features related to this major 
morbidity complication are essential for early diagnosis and prompt management. 
In about half of the patients with SCD, AVN can lead to chronic pain, 
particularly in the head of the femur and humerus. Humeral and femoral head AVN 
tend to be linked with each other.  Vertebral bone compression and collapse 
secondary to AVN have also been reported.  The diagnosis of AVN must be 
accurate, as the condition is complex requiring specific treatment according to 
the grade of bone and joint involvement. There are several classifications or 
staging systems used for grading bone and joint involvement. Knowledge of the 
image patterns and grade of affection in different joints and bones and the 
degree of progression of AVN lesions can markedly improve management decisions 
on AVN-specific surgical versus non-surgical interventions and improve patient 
outcomes. The aim of this report is to summarize the different imaging 
techniques and their role in the proper/early diagnosis and follow up of 
patients with AVN with detailed examples of the common sites involved.","DOI: 10.23750/abm.v94i3.14714
PMID: 37326259"
10. Paediatr Anaesth. 2023 Jun 16. doi: 10.1111/pan.14710. Online ahead of print.,"Intraoperative fluid administration volumes during pediatric liver 
transplantation and postoperative outcomes: A multicenter analysis.","Efune PN(1)(2), Hoyt MJ(3), Saynhalath R(1)(2), Ahn C(4), Pearsall MF(5), Khan 
UH(6), Feehan T(3), Desai DM(7), Szmuk P(1)(2).","Author information:
(1)Division of Pediatric Anesthesia, Department of Anesthesiology and Pain 
Management, University of Texas Southwestern Medical Center, Dallas, Texas, USA.
(2)Outcomes Research Consortium, Cleveland, Ohio, USA.
(3)Department of Anesthesiology, Riley Children's Health at Indiana University 
Health, Indianapolis, Indiana, USA.
(4)Department of Populations and Data Sciences & Harold C. Simmons Comprehensive 
Cancer Center, University of Texas Southwestern, Dallas, Texas, USA.
(5)Department of Anesthesiology and Critical Care Medicine, Perelman School of 
Medicine at the University of Pennsylvania, and The Children's Hospital of 
Philadelphia, Philadelphia, Pennsylvania, USA.
(6)Children's Health, Dallas, Texas, USA.
(7)Division of Surgical Transplantation, Department of Surgery, University of 
Texas Southwestern Medical Center, Dallas, Texas, USA.","INTRODUCTION: Fluid administration is an important aspect of the management of 
children undergoing liver transplantation and may impact postoperative outcomes. 
Our aim was to evaluate the association between volume of intraoperative fluid 
administration and our primary outcome, the duration of postoperative mechanical 
ventilation following pediatric liver transplantation. Secondary outcomes 
included intensive care unit length of stay and hospital length of stay.
METHODS: We conducted a multicenter, retrospective cohort study using electronic 
data from three major pediatric liver transplant centers. Intraoperative fluid 
administration was indexed to weight and duration of anesthesia. Univariate and 
stepwise linear regression analyses were conducted.
RESULTS: Among 286 successful pediatric liver transplants, the median duration 
of postoperative mechanical ventilation was 10.8 h (IQR 0.0, 35.4), the median 
intensive care unit length of stay was 4.3 days (IQR 2.7, 6.8), and the median 
hospital length of stay was 13.6 days (9.8, 21.1). Univariate linear regression 
showed a weak correlation between intraoperative fluids and duration of 
ventilation (r2  = .037, p = .001). Following stepwise linear regression, 
intraoperative fluid administration remained weakly correlated (r2  = .161, 
p = .04) with duration of postoperative ventilation. The following variables 
were also independently correlated with duration of ventilation: center (Riley 
Children's Health versus Children's Health Dallas, p = .001), and open abdominal 
incision after transplant (p = .001).
DISCUSSION: The amount of intraoperative fluid administration is correlated with 
duration of postoperative mechanical ventilation in children undergoing liver 
transplantation, however, it does not seem to be a strong factor.
CONCLUSIONS: Other modifiable factors should be sought which may lead to 
improved postoperative outcomes in this highly vulnerable patient population.",© 2023 The Authors. Pediatric Anesthesia published by John Wiley & Sons Ltd.,"DOI: 10.1111/pan.14710
PMID: 37326251"
11. J Mater Chem B. 2023 Jun 16. doi: 10.1039/d3tb00839h. Online ahead of print.,Anti-inflammatory strategies for photothermal therapy of cancer.,"Shi M(1), Liu X(1), Pan W(1), Li N(1), Tang B(1)(2).","Author information:
(1)College of Chemistry, Chemical Engineering and Materials Science, Key 
Laboratory of Molecular and Nano Probes, Ministry of Education, Collaborative 
Innovation Center of Functionalized Probes for Chemical Imaging in Universities 
of Shandong, Institute of Molecular and Nano Science, Shandong Normal 
University, Jinan 250014, P. R. China. panwei@sdnu.edu.cn.
(2)Laoshan Laboratory, Qingdao 266237, P. R. China.","High temperature generated by photothermal therapy (PTT) can trigger an 
inflammatory response at the tumor site, which not only limits the efficacy of 
PTT but also increases the risk of tumor metastasis and recurrence. In light of 
the current limitations posed by inflammation in PTT, several studies have 
revealed that inhibiting PTT-induced inflammation can significantly improve the 
efficacy of cancer treatment. In this review, we summarize the research progress 
made in combining anti-inflammatory strategies to enhance the effectiveness of 
PTT. The goal is to offer valuable insights for developing better-designed 
photothermal agents in clinical cancer therapy.","DOI: 10.1039/d3tb00839h
PMID: 37326239"
"12. Expert Opin Biol Ther. 2023 Jun 16. doi: 10.1080/14712598.2023.2227086.
Online  ahead of print.","The future of CAR T-cell therapy for B-cell acute lymphoblastic leukemia in 
pediatrics and adolescents.","Schultz L(1), Mackall CL(1)(2)(3).","Author information:
(1)Department of Pediatrics, Division of Hematology and Oncology, Stanford 
University School of Medicine, Palo Alto, CA, USA.
(2)Department of Medicine, Division of Blood and Bone Marrow Transplantation 300 
Pasteur Drive, Stanford University School of Medicine, Stanford, CA, USA.
(3)Center for Cancer Cell Therapy, Stanford University School of Medicine, 
Stanford Cancer Institute 265 Campus Drive, Stanford, CA, USA.","INTRODUCTION: Antigen down-regulation and early chimeric antigen receptor (CAR) 
T cell loss have emerged as 2 major challenges threatening outcomes following 
CD19-specific CAR T cell therapy for children and young adults with B-cell acute 
lymphoblastic leukemia (B-ALL). In addressing the future of CAR T cell therapy 
for B-ALL, innovative strategies to avert antigen downregulation and enhance CAR 
persistence warrant prioritized focus.
AREAS COVERED: We describe promising engineering strategies to refine CAR 
constructs to reverse exhaustion, develop regulatable CARs, optimize 
manufacturing, enrich for immune memory and disrupt immune inhibition. We 
additionally focus on alternative targeting to CD19-monospecific targeting and 
contextualize possibilities for expanded CAR utilization.
EXPERT OPINION: We describe research advances as they are independently 
reported, however anticipate an integrative strategy incorporating complementary 
modifications will be required to effectively address CAR loss, overcome antigen 
downregulation and enhance reliability and durability of CAR T cell responses 
for B-ALL.","DOI: 10.1080/14712598.2023.2227086
PMID: 37326236"
"13. Curr Opin Ophthalmol. 2023 Jun 16. doi: 10.1097/ICU.0000000000000982. Online 
ahead of print.",Artificial intelligence for ocular oncology.,"Koseoglu ND(1), Corrêa ZM(2)(3), Liu TYA(1).","Author information:
(1)Wilmer Eye Institute, Johns Hopkins University, Baltimore, Maryland.
(2)Ocular Oncology, Bascom Palmer Eye Institute.
(3)Sylvester Comprehensive Cancer Center, University of Miami Miller School of 
Medicine, Miami, Florida, USA.","PURPOSE OF REVIEW: The aim of this article is to provide an update on the latest 
applications of deep learning (DL) and classical machine learning (ML) 
techniques to the detection and prognostication of intraocular and ocular 
surface malignancies.
RECENT FINDINGS: Most recent studies focused on using DL and classical ML 
techniques for prognostication purposes in patients with uveal melanoma (UM).
SUMMARY: DL has emerged as the leading ML technique for prognostication in 
ocular oncological conditions, particularly in UM. However, the application of 
DL may be limited by the relatively rarity of these conditions.","Copyright © 2023 The Author(s). Published by Wolters Kluwer Health, Inc.","DOI: 10.1097/ICU.0000000000000982
PMID: 37326226"
"14. Expert Opin Drug Saf. 2023 Jun 16. doi: 10.1080/14740338.2023.2227089. Online
 ahead of print.","Efficacy and safety of sonidegib for the management of basal cell carcinoma: a 
drug safety evaluation.","Villani A(1), Scalvenzi M(1), Micali G(2), Lacarrubba F(2), Genco L(1), Ruggiero 
A(1), Fornaro L(1), Guerrasio G(1), Potestio L(1).","Author information:
(1)Section of Dermatology, Department of Clinical Medicine and Surgery, 
University of Naples Federico II.
(2)Dermatology Clinic, University of Catania, Italy.","INTRODUCTION: Surgery is the standard management for most of basal cell 
carcinomas (BBCs). In some cases, also radiotherapy may be a valuable weapon as 
well as ablative and topical treatments. However, all these approaches may be 
limited by some tumor features. In this scenario, locally advanced BCCs (laBCC) 
and metastatic BCC, also defined as 'difficult-to-treat' BCC, remain the real 
treatment challenge. New knowledge on BCC pathogenesis, particularly the 
Hedgehog (HH) pathway, led to the development of new selective therapies such as 
vismodegib and sonidegib. In particular, sonidegib is an orally administered 
small molecules which inhibits the HH signaling pathway through the binding to 
SMO receptor, recently approved for the management of adult patients with laBCC 
who are not amenable to curative surgery or radiation therapy.
AREAS COVERED: The purpose of this review is to analyze and discuss the efficacy 
and safety of sonidegib for the management of BCC, to provide a broad 
perspective on the currently available data.
EXPERT OPINION: sonidegib is a valuable weapon for the management of 
difficult-to-treat BCC. Current data showed promising results in terms of 
effectiveness and safety. However, more studies are needed to underline its role 
in BCC management, also considering the presence of vismodegib, and to 
investigate its use in a long-term period.","Plain Language Summary: Drug name: sonidegibPhase: approved (FDA, 
EMA)Indication: adult patients with locally advanced basal cell carcinoma who 
are not amenable to curative surgery or radiation therapyPharmacology: Hedgehog 
inhibitorRoute of administration: orallyChemical structure: C26H26F3N3O3Pivotal 
trials: BOLT trial.","DOI: 10.1080/14740338.2023.2227089
PMID: 37326221"
15. Clin Transl Sci. 2023 Jun 16. doi: 10.1111/cts.13569. Online ahead of print.,Anticoagulant therapy in COVID-19: A narrative review.,"Mohseni Afshar Z(#)(1), Tavakoli Pirzaman A(#)(2), Hosseinzadeh R(2), Babazadeh 
A(3), Taghizadeh Moghadam MA(4), Miri SR(5), Sio TT(6), Sullman MJM(7)(8), 
Barary M(9), Ebrahimpour S(3).","Author information:
(1)Clinical Research Development Center, Imam Reza Hospital, Kermanshah 
University of Medical Sciences, Kermanshah, Iran.
(2)Student Research Committee, Babol University of Medical Sciences, Babol, 
Iran.
(3)Infectious Diseases and Tropical Medicine Research Center, Health Research 
Institute, Babol University of Medical Sciences, Babol, Iran.
(4)Student Research Committee, Shiraz University of Medical Sciences, Shiraz, 
Iran.
(5)Cancer Research Center, Cancer Institute of Iran, Tehran University of 
Medical Science, Tehran, Iran.
(6)Department of Radiation Oncology, Mayo Clinic, Phoenix, Arizona, USA.
(7)Department of Social Sciences, University of Nicosia, Nicosia, Cyprus.
(8)Department of Life and Health Sciences, University of Nicosia, Nicosia, 
Cyprus.
(9)Student Research Committee, Virtual School of Medical Education and 
Management, Shahid Beheshti University of Medical Sciences, Tehran, Iran.
(#)Contributed equally","Coronavirus disease 2019 (COVID-19), caused by the severe acute respiratory 
syndrome coronavirus 2 (SARS-CoV-2), can manifest itself in several ways, 
including coagulopathy and thrombosis. These complications can be the first and 
sometimes only manifestations of SARS-CoV-2 infection and can occur early or 
late in the course of the disease. However, these symptoms are more prevalent in 
hospitalized venous thromboembolism (VTE) patients, particularly those admitted 
to intensive care units (ICUs). Moreover, various forms of arterial and venous 
thrombosis, or micro- or macro-vasculature embolisms, have been reported during 
the current pandemic. They have led to harmful consequences, such as 
neurological and cardiac events, nearly all resulting from the hypercoagulable 
state caused by this viral infection. The severe hypercoagulability observed in 
COVID-19 patients accounts for most cases of the disease that become critical. 
Therefore, anticoagulants seem to be one of the most vital therapeutics for 
treating this potentially life-threatening condition. In the current article, we 
present a thorough review of the pathophysiology of COVID-19-induced 
hypercoagulable state and the use of anticoagulants to treat SARS-CoV-2 
infections in different patient groups, as well as their pros and cons.",This article is protected by copyright. All rights reserved.,"DOI: 10.1111/cts.13569
PMID: 37326220"
19. Cancer Med. 2023 Jun 16. doi: 10.1002/cam4.6222. Online ahead of print.,"Plasma D-dimer and interleukin-6 are associated with treatment response and 
progression-free survival in advanced NSCLC patients on anti-PD-1 therapy.","Chen C(1), Yin H(1), Zhang Y(1), Chen H(1), Xu J(2), Ren L(1).","Author information:
(1)Department of Clinical Laboratory, Tianjin Medical University Cancer 
Institute and Hospital, National Clinical Research Center for Cancer, Tianjin's 
Clinical Research Center for Cancer, Key Laboratory of Cancer Immunology and 
Biotherapy, Tianjin, Tianjin, China.
(2)Department of Senior Ward, Tianjin Medical University Cancer Institute and 
Hospital, National Clinical Research Center for Cancer, Tianjin's Clinical 
Research Center for Cancer, Tianjin Key Laboratory of Cancer Prevention and 
Therapy, Tianjin, China.","BACKGROUND/AIMS: Response to therapy after using immune checkpoint inhibitors 
(ICIs) is unpredictable due to significant interindividual variation in efficacy 
among advanced non-small cell lung cancer (NSCLC) patients. The current study 
centered on the identification of perivascular blood biomarkers for predicting 
the effectiveness of anti-programmed cell death protein 1 (anti-PD-1) treatment 
and progression-free survival (PFS) in advanced NSCLC patients, that could be 
applied to help determine how to change treatment plans therapeutic regimens for 
optimizing clinical benefits.
METHODS: A comprehensive review of 100 advanced or recurrent NSCLC patients 
receiving anti-PD-1 therapy (Camrelizumab, pembrolizumab, sintilimab, or 
nivolumab) was conducted between January 2018 and April 2021 in Tianjin Medical 
University Cancer Hospital. The cutoff values of D-dimer were selected from rom 
our previous study, and interleukin-6 (IL-6) was divided according to the 
median. Using computed tomography, tumor response was evaluated in accordance 
with the Response Assessment Criteria in Solid Tumors, version 1.1.
RESULTS: High IL-6 level in advanced NSCLC patients was predictive of low 
efficacy and a short PFS duration after anti-PD-1 therapy. An increased D-dimer 
value of 981 ng/mL was significantly predictive of disease progression in NSCLC 
patients treated with anti-PD-1 and high D-dimer expression predictive of short 
duration of PFS. Further studies on the correlation between IL-6, D-dimer, and 
anti-PD-1 efficacy in NSCLC patients stratified by gender revealed that D-dimer 
and IL-6 levels were significantly associated with the risk of PFS in male 
patients.
CONCLUSIONS: High IL-6 content in peripheral blood in patients with advanced 
non-small cell lung cancer may contribute to poor anti-PD-1 efficacy and short 
duration of PFS through inducing alterations in the tumor microenvironment. 
D-dimer in peripheral blood is predictive of hyperfibrinolysis and contributes 
to the release of tumor-driven specific factors, leading to poor effects of 
anti-PD-1 therapy.",© 2023 The Authors. Cancer Medicine published by John Wiley & Sons Ltd.,"DOI: 10.1002/cam4.6222
PMID: 37326149"
20. Cancer Med. 2023 Jun 16. doi: 10.1002/cam4.6268. Online ahead of print.,"A unique expression pattern of LAG3 distinct from that of other immune 
checkpoints in diffuse large B-cell lymphoma.","Lee H(1), Yoon SE(2), Kim SJ(2), Kim WS(2), Cho J(1).","Author information:
(1)Department of Pathology, Samsung Medical Center, Sungkyunkwan University 
School of Medicine, Seoul, South Korea.
(2)Division of Hematology and Oncology, Department of Medicine, Samsung Medical 
Center, Sungkyunkwan University School of Medicine, Seoul, South Korea.","BACKGROUND: Although some patients with diffuse large B-cell lymphoma (DLBCL) 
show a response to immunotherapy, there are still many who do not respond. This 
suggests that various immune checkpoints are complicatedly intertwined in the 
composition of the tumor microenvironment of DLBCL.
PATIENTS AND METHODS: To comprehensively understand the expression of various 
immune checkpoint genes in DLBCL, we performed NanoString assay in 98 patients 
to investigate 579 genes. In addition, we performed immunohistochemistry for 
LAG-3 and PD-L1 to compare the results with expression in NanoString assay.
RESULTS: As a result of hierarchical clustering of NanoString assay, 98 DLBCLs 
were classified into three tumor immune microenvironment clusters. Most immune 
checkpoint genes showed the highest expression in cluster A and the lowest in 
cluster C. However, the expression of LAG3 was the highest in cluster C and the 
lowest in cluster A, showing an expression pattern opposite to that of other 
immune checkpoint genes. In Cluster A, the expression of genes related to T-cell 
activity such as CD8A and GZMB was increased. In Cluster C, the expression of 
genes related to major histocompatibility complex molecules was the highest. 
Immunohistochemical stains showed modest agreement with the NanoString results 
but did not help clustering.
CONCLUSION: Our results show that the unique expression pattern of LAG3 in DLBCL 
contrasts with that of other immune checkpoints. We suggest that the combination 
of anti-PD-1/PD-L1 and anti-LAG-3 blockades in the immunotherapy of DLBCL 
patients can have a synergistic effect, improving the immunotherapy efficacy and 
outcome in DLBCL patients.",© 2023 The Authors. Cancer Medicine published by John Wiley & Sons Ltd.,"DOI: 10.1002/cam4.6268
PMID: 37326144"
1. Cancer Med. 2023 Jun 16. doi: 10.1002/cam4.6271. Online ahead of print.,"Identification and validation of Birc5 as a novel activated cell cycle program 
biomarker associated with infiltration of immunosuppressive myeloid-derived 
suppressor cells in hepatocellular carcinoma.","Liu Y(1), Chen X(2), Luo W(3), Zhao Y(1), Nashan B(4), Huang L(5)(6), Yuan X(4).","Author information:
(1)Department of Radiation Oncology, Division of Life Sciences and Medicine, 
Anhui Provincial Cancer Hospital, The First Affiliated Hospital of USTC, 
University of Science and Technology of China, Hefei, China.
(2)Department of Gastrointestinal Oncology Surgery, Division of Life Sciences 
and Medicine, Anhui Provincial Cancer Hospital, The First Affiliated Hospital of 
USTC, University of Science and Technology of China, Hefei, China.
(3)Department of Pathology, The First Affiliated Hospital of Anhui Medical 
University, Hefei, China.
(4)Organ Transplant Center, Department of Hepatobiliary and Transplantation 
Surgery, Division of Life Sciences and Medicine, The First Affiliated Hospital 
of USTC, University of Science and Technology of China, Hefei, China.
(5)Department of Oncology, Ruijin Hospital, Shanghai Jiao Tong University School 
of Medicine, Shanghai, China.
(6)Medical Center on Aging of Ruijin Hospital, MCARJH, Shanghai Jiaotong 
University School of Medicine, Shanghai, China.","BACKGROUND: Preclinical studies and clinical trials have demonstrated that 
tumor-intrinsic activation of the cell cycle program impedes anticancer 
immunotherapy. Identification of cell cycle-related biomarkers may provide novel 
therapeutic targets to augment the efficacy of immunotherapy in hepatocellular 
carcinoma (HCC).
METHOD AND RESULTS: Based on the genes related to cell cycle program, two 
clusters (Cluster 1 and Cluster 2) were detected in HCC patients via 
non-negative matrix factorization algorithm. Multivariable-adjusted Cox 
regression analysis indicated that the cell cycle gene-based classification was 
a significant prognostic factor for predicting the clinical outcome of HCC 
patients. Cluster 1 showed shorter overall survival time and progression-free 
interval time was associated with activated cell cycle program, higher 
infiltration of myeloid-derived suppressor cells (MDSCs) and less sensitivity to 
immunotherapy. A three-gene prognostic model, including BIRC5, C8G, and SPP1, 
was constructed to characterize the cell cycle-based classification of HCC, 
which had strong robustness and a stable predictive performance. Notably, Birc5 
was positively correlated with CD11b expression (a MDSC marker) in HCC tissue. 
Concordant high expression of Birc5 and intratumor infiltration level of MDSCs 
were correlated with worse prognosis of HCC patients. In vitro, hepatocellular 
Birc5 overexpression promoted immunosuppressive CD11b+ CD33+ HLA-DR- MDSC 
expansion from human peripheral blood mononuclear cells. Genetically modified 
animal model of liver cancer revealed that Birc5 depletion upregulated the genes 
related to lymphocyte-mediated immunity, natural killer cell-mediated immunity, 
interferon-gamma production, T-cell activation, and T-cell-mediated 
cytotoxicity. These results suggest an immunosuppressive function of Birc5 in 
HCC.
CONCLUSION: Birc5 was a potential biomarker and inducer of intratumor 
infiltration of MDSCs, which led to T cell exclusion or dysfunction in tumor 
immune microenvironment, consequently resulting in reduced response to ICIs in 
HCC.",© 2023 The Authors. Cancer Medicine published by John Wiley & Sons Ltd.,"DOI: 10.1002/cam4.6271
PMID: 37326143"
"2. Genes Chromosomes Cancer. 2023 Jun 16. doi: 10.1002/gcc.23186. Online ahead of
 print.","NR1D1::MAML1 epithelioid and spindle cell sarcoma mimicking pseudomyogenic 
hemangioendothelioma in core biopsy: A case report and review of the literature.","Warmke LM(1), Collier CD(2), Davis JL(1).","Author information:
(1)Department of Pathology, Indiana University School of Medicine, Indianapolis, 
Indiana, USA.
(2)Department of Orthopedic Surgery, Indiana University School of Medicine, 
Indianapolis, Indiana, USA.","Epithelioid and spindle cell sarcomas with NR1D1::MAML1/2 gene fusions are rare 
and emerging entities. Only six cases of NR1D1-rearranged mesenchymal tumors 
have previously been reported in the literature; they are often characterized by 
an epithelioid morphology, at least focal pseudogland formation, prominent 
cytoplasmic vacuoles, and focal to diffuse immunohistochemical expression of 
keratin. We herein report the first case of an NR1D1::MAML1 epithelioid and 
spindle cell sarcoma with dual immunohistochemical expression of ERG and FOSB, 
mimicking a pseudomyogenic hemangioendothelioma (PHE) on core biopsy. The 
sarcoma arose in the left forearm of a 64-year-old man. Initial biopsy showed a 
mesenchymal neoplasm composed of epithelioid and spindle cells dispersed in 
myxoid stroma with scattered stromal neutrophils. The morphologic features, 
combined with the dual immunohistochemical expression of ERG and FOSB, initially 
mimicked PHE, representing an important potential diagnostic pitfall. The 
patient subsequently underwent a radical resection, which showed a much more 
diffuse epithelioid appearance with nested architecture and pseudogland 
formation. Next-generation sequencing was performed on the resection specimen, 
which revealed an NR1D1::MAML1 gene fusion, confirming the final diagnosis. 
Given the fully malignant potential of this tumor, knowledge and recognition of 
this rare entity are essential to ensure proper management, prevent 
misdiagnosis, and further characterize the clinical course of this emerging 
entity. Comprehensive molecular testing can help to identify these rare tumors 
and exclude the possibility of epithelioid mimics, including PHE.","© 2023 The Authors. Genes, Chromosomes and Cancer published by Wiley Periodicals 
LLC.","DOI: 10.1002/gcc.23186
PMID: 37326138"
3. Oncol Rep. 2023 Aug;50(2):150. doi: 10.3892/or.2023.8587. Epub 2023 Jun 16.,"Downregulation of fascin induces collective cell migration in triple‑negative 
breast cancer.","Yamamoto Y(1), Hayashi Y(2), Sakaki H(3), Murakami I(1).","Author information:
(1)Department of Diagnostic Pathology, Kochi University Hospital, Kochi 
University, Kohasu, Nankoku, Kochi 783‑8505, Japan.
(2)Equipment of Support Planning Office, Kochi University, Kohasu, Nankoku, 
Kochi 783‑8505, Japan.
(3)Department of Nutritional Sciences for Wellbeing, Kansai University of 
Welfare Sciences, Kashiwara, Osaka 582‑0026, Japan.","Breast cancer (BC) is one of the most common types of cancer affecting female 
patients. Triple‑negative BC (TNBC) is an aggressive subtype. Fascin, an 
actin‑bundling protein, serves a significant role in cancer metastasis. Fascin 
overexpression is associated with poor prognosis of BC. To confirm the 
relationship between fascin expression and BC malignancy, the present study 
reviewed clinical data from 100 Japanese patients with BC and performed fresh 
immunohistochemical fascin examination of tissue samples. Statistical analyses 
showed metastasis or recurrence in 11 of 100 patients and a significant 
association between high fascin expression and poor prognosis. The TNBC subtype 
was also associated with high fascin expression. However, a few cases developed 
poor prognosis regardless of negative or slightly positive fascin expression. 
The present study established fascin knockdown (FKD) MDA‑MB‑231, a TNBC cell 
line, and investigated morphological effects of fascin on TNBC cells. FKD cells 
exhibited cell‑cell connections and bulbous nodules of various sizes on the cell 
surface. Conversely, non‑FKD MDA‑MB‑231 cells exhibited loose cell‑cell 
connections with numerous filopodia on the cell surface. Filopodia, actin‑rich 
plasma membrane protrusions, are composed of fascin and control cell‑cell 
interaction, migration and wound healing. Cancer metastasis is conventionally 
classified into two mechanisms: single and collective cell migration. Fascin 
increases cancer metastasis by single cell migration via filopodia on the cell 
surface. However, the present study suggested that following FKD, TNBC cells 
lost filopodia and exhibited collective cell migration.","DOI: 10.3892/or.2023.8587
PMID: 37326137"
4. Biol Cell. 2023 Jun 16. doi: 10.1111/boc.202300010. Online ahead of print.,Mitochondria: at the crossroads between mechanobiology and cell metabolism.,"Su É(1)(2), Villard C(2), Manneville JB(1).","Author information:
(1)Laboratoire Matière et Systèmes Complexes (MSC), Université Paris Cité, 
Paris, France.
(2)Laboratoire Interdisciplinaire des Énergies de Demain (LIED), Université 
Paris Cité, Paris, France.","Metabolism and mechanics are two key facets of structural and functional 
processes in cells, such as growth, proliferation, homeostasis and regeneration. 
Their reciprocal regulation has been increasingly acknowledged in recent years: 
external physical and mechanical cues entail metabolic changes, which in return 
regulate cell mechanosensing and mechanotransduction. Since mitochondria are 
pivotal regulators of metabolism, we review here the reciprocal links between 
mitochondrial morphodynamics, mechanics and metabolism. Mitochondria are highly 
dynamic organelles which sense and integrate mechanical, physical and metabolic 
cues to adapt their morphology, the organization of their network and their 
metabolic functions. While some of the links between mitochondrial 
morphodynamics, mechanics and metabolism are already well established, others 
are still poorly documented and open new fields of research. First, cell 
metabolism is known to correlate with mitochondrial morphodynamics. For 
instance, mitochondrial fission, fusion and cristae remodeling allow the cell to 
fine-tune its energy production through the contribution of mitochondrial 
oxidative phosphorylation and cytosolic glycolysis. Second, mechanical cues and 
alterations in mitochondrial mechanical properties reshape and reorganize the 
mitochondrial network. Mitochondrial membrane tension emerges as a decisive 
physical property which regulates mitochondrial morphodynamics. However, the 
converse link hypothesizing a contribution of morphodynamics to mitochondria 
mechanics and/or mechanosensitivity has not yet been demonstrated. Third, we 
highlight that mitochondrial mechanics and metabolism are reciprocally 
regulated, although little is known about the mechanical adaptation of 
mitochondria in response to metabolic cues. Deciphering the links between 
mitochondrial morphodynamics, mechanics and metabolism still presents 
significant technical and conceptual challenges but is crucial both for a better 
understanding of mechanobiology and for potential novel therapeutic approaches 
in diseases such as cancer. This article is protected by copyright. All rights 
reserved.",This article is protected by copyright. All rights reserved.,"DOI: 10.1111/boc.202300010
PMID: 37326132"
